alive,dead,cond
244,0,original
231,7,original
270,1,original
383,7,original
401,9,original
306,10,tcp
399,24,tcp
217,12,tcp
281,1,tcp
359,2,tcp
4,8,teflon
70,19,teflon
39,8,teflon
3,1,teflon
5,6,teflon
265,7,ss
123,24,ss
105,14,ss
551,69,ss
231,7,ss
6,90,brass
14,27,brass
42,6,brass
83,1,brass
112,8,brass
264,13,al
127,18,al
241,69,al
211,30,al
241,7,al
